Name,Address,Number,WorkingTime,Areas
Спорт Инн Центар,,02 3216665,Пон - Пет од 06:30 до 21:00 • Саб од 10:00 до 21:00,"фитнес центри, спа центри, јога"
Александар Палас-фитнес и спа,,02 3092190,,"фитнес центри, спа центри"
Атанасовски,,070 788889,Пон - Саб од 10:00 до 22:00 • Нед од 16:00 до 20:00,фитнес центри
Атлета 2003,,02 2468846,Пон - Саб од 10:00 до 22:00 • Нед од 17:00 до 22:00,"фитнес центри, аеробик и пилатес"
Атлетикс,,077 661645,Пон - Пет од 16:00 до 22:00,фитнес центри
А1 Арена Спортски центар - Борис Трајковски,,076 361185,,"спортски центри, објекти, игралишта и терени, сали за спорт, аеробик и пилатес, пинг понг - клубови, концертни сали, аква паркови"
А1 Арена Спортски центар - Борис Трајковски (Фитнес Центар),,076 361185,,фитнес центри
Бодитек,,02 3132007,Пон - Пет од 10:00 до 22:00 • Саб од 10:00 до 16:00,фитнес центри
Боди Арт,,076 557410,,"салони за масажа, фитнес центри"
Боклес,,02 2792090,,"фото студија, фитнес центри, трансфер на пари"
Бранимир и Бранкица,,071 968582,Пон - Пет од 17:00 до 22:00 • Саб од 10:00 до 14:00 • Нед од 18:00 до 21:00,"аеробик и пилатес, јога, гимнастика - клубови"
Бранимир и Бранкица,,071 968582,,"училишта за танцување, аеробик и пилатес, јога, гимнастика - клубови"
Будо- Центар за боречки спортови-академија за традиционално карате Недеви,,02 2722800,Пон - Нед од 18:00 до 00:00,"карате - клубови, фитнес центри"
Гладијатор Џим,,078 444443,Пон - Нед од 08:00 до 22:00,фитнес центри
Голден фитнес,,071 555510,,"фитнес центри, аеробик и пилатес"
Давид Марјан,,075 244643,Пон - Саб од 10:00 до 22:00,фитнес центри
Динамикс,,02 3226680,Пон - Саб од 17:00 до 22:00,фитнес центри
Д-р Јасмина Плунцевиќ-Глигороска,,075 335633,Пон - Нед од 17:00 до 22:00,аеробик и пилатес
Емпајр Стејт Билдинг,,078 228388,,фитнес центри
Ит да бит-Eat the beat,,070 368000,,"училишта за танцување, аеробик и пилатес"
